gameid,season,homeOrAway,teamSkaterStatsgoals,teamSkaterStatspim,teamSkaterStatsshots,teamSkaterStatspowerPlayPercentage,teamSkaterStatspowerPlayGoals,teamSkaterStatspowerPlayOpportunities,teamSkaterStatsfaceOffWinPercentage,teamSkaterStatsblocked,teamSkaterStatstakeaways,teamSkaterStatsgiveaways,teamSkaterStatshits,teamid
9,2019,A,2,4,24,33,1,3,42,18,9,7,19,30
9,2015,H,2,6,25,33,1,3,35,12,5,9,15,18
9,2016,H,6,20,36,50,3,6,56,9,9,11,22,14
9,2017,H,4,8,31,40,2,5,46,11,7,14,13,17
9,2018,H,3,6,25,33,1,3,53,18,9,13,22,9
9,2019,H,5,6,32,0,0,2,58,12,10,12,17,18
10,2015,A,0,10,37,0,0,3,51,16,11,5,21,5
10,2016,A,1,16,24,0,0,2,46,16,8,15,18,1
10,2017,A,1,32,29,50,1,2,45,24,7,9,38,5
10,2018,A,3,6,39,17,1,6,57,17,4,5,13,29
10,2019,A,2,4,20,25,1,4,47,16,5,10,12,6
10,2015,H,3,6,24,40,2,5,49,18,11,13,23,25
10,2016,H,2,14,34,0,0,3,54,4,10,13,20,13
10,2017,H,10,4,44,0,0,6,55,13,10,11,27,16
10,2018,H,2,12,20,33,1,3,43,20,5,16,20,17
10,2019,H,1,8,29,0,0,2,53,18,8,17,15,25
11,2015,A,5,6,30,50,1,2,55,12,9,4,16,30
11,2016,A,2,20,21,0,0,5,47,12,6,1,19,30
11,2017,A,4,8,30,50,2,4,43,11,5,14,18,53
11,2018,A,5,8,25,50,1,2,42,11,10,4,20,52
11,2019,A,3,29,30,50,2,4,54,16,5,9,20,20
11,2015,H,4,6,23,100,2,2,45,29,6,8,25,21
11,2016,H,3,14,31,0,0,3,53,17,8,3,21,19
11,2017,H,5,18,41,0,0,4,57,18,2,13,27,24
11,2018,H,1,4,42,0,0,4,58,13,7,5,18,19
11,2019,H,5,15,32,33,2,6,46,15,8,5,15,21
12,2015,A,3,8,30,25,1,4,43,4,6,1,20,52
12,2016,A,4,12,27,50,2,4,64,10,7,13,15,12
12,2017,A,0,10,35,0,0,5,48,13,4,10,19,4
12,2018,A,0,8,30,0,0,2,48,14,7,10,24,53
12,2019,A,1,2,33,0,0,1,49,13,6,13,15,53
12,2015,H,1,8,21,25,1,4,57,6,8,4,17,1
12,2016,H,5,10,26,20,1,5,36,12,9,13,18,52
12,2017,H,2,10,27,0,0,5,52,11,7,8,21,26
12,2018,H,3,8,25,0,0,2,52,15,5,13,31,25
12,2019,H,2,2,29,0,0,1,51,20,13,14,26,24
13,2015,A,4,12,25,0,0,2,45,12,6,3,26,3
13,2016,A,2,8,35,0,0,5,64,13,4,3,19,24
