player_id,game_id,season,homeOrAway,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,goals_against,shutout,win
8466141,20,2015,H,60:00,0,0,0,39,38,7,4,27,4,27,8,W,97.43589743589743,87.5,100,100,1,0,1
8470147,21,2015,A,20:00,0,0,0,7,6,1,0,5,0,6,1,,85.71428571428571,100,,83.33333333333334,1,0,0
8475683,21,2015,A,39:16,0,0,0,22,18,0,3,15,3,18,1,L,81.81818181818183,0,100,83.33333333333334,4,0,0
8468685,21,2015,H,60:00,0,0,0,39,37,7,0,30,0,31,8,W,94.87179487179486,87.5,,96.7741935483871,2,0,1
8476234,22,2015,A,57:30,0,0,0,26,22,11,0,11,1,13,12,L,84.61538461538461,91.66666666666666,0,84.61538461538461,4,0,0
8474651,22,2015,H,59:08,0,0,0,24,21,2,1,18,1,20,3,W,87.5,66.66666666666666,100,90,3,0,1
8475852,23,2015,A,60:00,0,0,0,47,44,11,0,33,0,35,12,W,93.61702127659575,91.66666666666666,,94.28571428571428,3,0,1
8470320,23,2015,H,58:25,0,0,0,19,15,0,0,15,0,19,0,L,78.94736842105263,,,78.94736842105263,4,0,0
8475660,24,2015,A,57:55,0,0,0,26,24,2,2,20,2,22,2,L,92.3076923076923,100,100,90.9090909090909,2,0,0
8471469,24,2015,H,60:00,0,0,0,31,31,5,0,26,0,26,5,W,100,100,,100,0,1,1
8474596,25,2015,A,58:42,0,0,0,19,16,1,0,15,0,17,2,L,84.21052631578947,50,,88.23529411764706,3,0,0
8471227,25,2015,H,59:55,0,0,0,32,30,6,0,24,0,25,7,W,93.75,85.71428571428571,,96,2,0,1
8475234,26,2015,A,59:50,0,0,0,34,30,10,0,20,0,23,11,L,88.23529411764706,90.9090909090909,,86.95652173913044,4,0,0
8474152,26,2015,H,59:38,0,0,0,29,28,1,3,24,4,24,1,W,96.55172413793103,100,75,100,1,0,1
8474550,27,2015,A,60:00,0,0,2,28,22,3,3,16,3,20,5,L,78.57142857142857,60,100,80,6,0,0
8473575,27,2015,H,60:00,0,0,0,33,30,6,1,23,1,25,7,W,90.9090909090909,85.71428571428571,100,92,3,0,1
8473972,28,2015,A,63:03,0,0,0,30,28,5,0,23,0,24,6,W,93.33333333333333,83.33333333333334,,95.83333333333334,2,0,1
8468011,28,2015,H,63:03,0,0,0,38,35,4,1,30,1,32,5,L,92.10526315789474,80,100,93.75,3,0,0
8470594,29,2015,A,59:00,0,0,0,39,37,11,4,22,4,24,11,L,94.87179487179486,100,100,91.66666666666666,2,0,0
8469608,29,2015,H,60:00,0,0,0,28,27,6,0,21,0,22,6,W,96.42857142857143,100,,95.45454545454545,1,0,1
8475883,30,2015,A,59:07,0,0,0,44,42,2,1,39,1,41,2,L,95.45454545454545,100,100,95.1219512195122,2,0,0
8474889,30,2015,H,60:00,0,0,0,27,27,3,0,24,0,24,3,W,100,100,,100,0,1,1
8477237,31,2015,A,60:00,0,0,0,21,20,6,1,13,2,13,6,W,95.23809523809523,100,50,100,1,0,1
8478559,31,2015,H,58:02,0,0,0,34,31,3,1,27,1,30,3,L,91.17647058823529,100,100,90,3,0,0
8471750,32,2015,A,60:00,0,0,0,30,27,2,0,25,0,25,5,W,90,40,,100,3,0,1
8471695,32,2015,H,59:09,0,0,0,23,17,2,0,15,0,19,4,L,73.91304347826086,50,,78.94736842105263,6,0,0
8471715,33,2015,A,58:47,0,0,0,43,40,12,2,26,2,27,14,L,93.02325581395348,85.71428571428571,100,96.29629629629629,3,0,0
8471306,33,2015,H,59:52,0,0,0,24,22,5,1,16,1,17,6,W,91.66666666666666,83.33333333333334,100,94.11764705882352,2,0,1
8475683,34,2015,A,56:25,0,0,0,33,29,9,0,20,0,21,12,L,87.87878787878788,75,,95.23809523809523,4,0,0
8473434,34,2015,H,59:57,0,0,0,24,22,5,0,17,0,17,7,W,91.66666666666666,71.42857142857143,,100,2,0,1
8466141,35,2015,A,58:51,0,0,0,33,32,7,2,23,2,24,7,L,96.96969696969697,100,100,95.83333333333334,1,0,0
8473607,35,2015,H,60:00,0,0,0,31,31,5,0,26,0,26,5,W,100,100,,100,0,1,1
8468011,36,2015,A,65:00,0,0,0,29,28,3,2,23,2,24,3,W,96.55172413793103,100,100,95.83333333333334,1,0,1
8475883,36,2015,H,65:00,0,0,0,25,24,2,1,21,1,22,2,L,96,100,100,95.45454545454545,1,0,0
8471469,37,2015,A,60:00,1,0,0,23,22,3,0,19,0,19,4,W,95.65217391304348,75,,100,1,0,1
8476234,37,2015,H,57:59,0,0,0,18,17,3,0,14,0,14,4,L,94.44444444444444,75,,100,1,0,0
8474636,38,2015,A,59:58,0,0,0,41,40,8,1,31,1,32,8,W,97.5609756097561,100,100,96.875,1,0,1
8468685,38,2015,H,59:27,0,0,0,28,25,3,0,22,1,22,5,L,89.28571428571429,60,0,100,3,0,0
8471679,39,2015,A,60:00,0,0,0,33,31,1,0,30,0,32,1,W,93.93939393939394,100,,93.75,2,0,1
8470594,39,2015,H,59:10,0,0,0,30,27,0,1,26,1,28,1,L,90,0,100,92.85714285714286,3,0,0
8474889,40,2015,A,59:54,0,0,0,31,31,4,5,22,5,22,4,W,100,100,100,100,0,1,1
8474651,40,2015,H,55:47,0,0,0,30,27,7,1,19,1,21,8,L,90,87.5,100,90.47619047619048,3,0,0
8471219,41,2015,A,60:00,0,0,0,23,22,6,1,15,1,16,6,W,95.65217391304348,100,100,93.75,1,0,1
8475663,41,2015,H,58:25,0,0,0,29,26,2,0,24,0,27,2,L,89.65517241379311,100,,88.88888888888889,3,0,0
8471750,42,2015,A,58:12,0,0,0,23,21,3,0,18,0,19,4,L,91.30434782608695,75,,94.73684210526315,2,0,0
8470657,42,2015,H,59:55,0,0,0,21,20,2,1,17,1,18,2,W,95.23809523809523,100,100,94.44444444444444,1,0,1
8475195,43,2015,A,59:28,0,0,0,51,48,11,0,37,0,40,11,L,94.11764705882352,100,,92.5,3,0,0
8470140,43,2015,H,59:16,1,0,0,28,26,3,1,22,1,24,3,W,92.85714285714286,100,100,91.66666666666666,2,0,1
8470880,44,2015,A,60:00,0,0,0,18,15,2,0,13,0,15,3,W,83.33333333333334,66.66666666666666,,86.66666666666667,3,0,1
8473972,44,2015,H,58:05,0,0,0,28,24,0,1,23,1,26,1,L,85.71428571428571,0,100,88.46153846153845,4,0,0
8468011,45,2015,A,60:00,0,0,0,15,15,2,1,12,1,12,2,W,100,100,100,100,0,1,1
8471734,45,2015,H,58:25,0,0,0,25,23,5,2,16,2,18,5,L,92,100,100,88.88888888888889,2,0,0
8467950,46,2015,A,59:49,0,0,0,41,38,14,0,24,0,26,15,W,92.6829268292683,93.33333333333333,,92.3076923076923,3,0,1
8475683,46,2015,H,59:05,0,0,0,26,20,4,0,16,0,21,5,L,76.92307692307693,80,,76.19047619047619,6,0,0
8470645,47,2015,A,60:00,0,0,0,29,26,4,1,21,1,23,5,L,89.65517241379311,80,100,91.30434782608695,3,0,0
8473607,47,2015,H,60:00,0,0,0,30,30,8,2,20,2,20,8,W,100,100,100,100,0,1,1
8475361,48,2015,A,60:00,0,0,0,22,20,2,3,15,3,16,3,W,90.9090909090909,66.66666666666666,100,93.75,2,0,1
8473499,48,2015,H,22:22,0,0,0,5,5,1,0,4,0,4,1,,100,100,,100,0,0,0
8473575,48,2015,H,35:32,0,0,0,19,14,0,0,14,0,19,0,L,73.68421052631578,,,73.68421052631578,5,0,0
8469608,49,2015,A,60:00,0,0,0,37,37,6,2,29,2,29,6,W,100,100,100,100,0,1,1
8471418,49,2015,H,12:53,0,0,0,8,5,2,0,3,0,5,3,L,62.5,66.66666666666666,,60,3,0,0
8475883,49,2015,H,47:07,0,0,0,21,20,5,0,15,0,16,5,,95.23809523809523,100,,93.75,1,0,0
8471469,50,2015,A,58:05,0,0,0,28,24,2,2,20,2,24,2,L,85.71428571428571,100,100,83.33333333333334,4,0,0
8471306,50,2015,H,60:00,0,0,0,47,44,3,1,40,1,43,3,W,93.61702127659575,100,100,93.02325581395348,3,0,1
8467950,51,2015,A,58:27,0,0,0,36,34,5,1,28,1,30,5,L,94.44444444444444,100,100,93.33333333333333,2,0,0
8470594,51,2015,H,60:00,0,0,0,22,22,1,0,21,0,21,1,W,100,100,,100,0,1,1
8474152,52,2015,A,60:00,0,0,0,24,20,1,0,19,0,22,2,L,83.33333333333334,50,,86.36363636363636,4,0,0
8474651,52,2015,H,59:48,0,0,0,27,26,2,0,24,0,25,2,W,96.29629629629629,100,,96,1,0,1
8468685,53,2015,A,59:03,0,0,0,31,29,6,1,22,1,24,6,L,93.54838709677419,100,100,91.66666666666666,2,0,0
8471679,53,2015,H,59:51,0,0,0,25,25,7,2,16,2,16,7,W,100,100,100,100,0,1,1
8470140,54,2015,A,60:00,0,0,0,33,30,0,1,29,1,32,0,W,90.9090909090909,,100,90.625,3,0,1
8471750,54,2015,H,57:30,0,0,0,22,17,3,0,14,0,17,5,L,77.27272727272727,60,,82.35294117647058,5,0,0
8473434,55,2015,A,58:36,0,0,0,29,26,7,0,19,0,20,9,L,89.65517241379311,77.77777777777779,,95,3,0,0
8466141,55,2015,H,60:00,0,0,0,26,24,4,0,20,0,21,5,W,92.3076923076923,80,,95.23809523809523,2,0,1
8470880,56,2015,A,59:59,0,0,0,26,24,6,0,18,0,20,6,W,92.3076923076923,100,,90,2,0,1
