Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Alexander Alexeyev (13678866),Alexander Alexeyev,13678866,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
D,Connor Hobbs (13678868),Connor Hobbs,13678868,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
D,Colby Williams (13678870),Colby Williams,13678870,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
D,William Borgen (13678878),William Borgen,13678878,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
D,Christian Djoos (13678924),Christian Djoos,13678924,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
D,Casey Nelson (13678938),Casey Nelson,13678938,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
D,Lawrence Pilut (13678942),Lawrence Pilut,13678942,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
C,Lucas Wallmark (13678002),Lucas Wallmark,13678002,C/UTIL,2500,DET@CAR 11/01/2019 07:30PM ET,CAR,4.3
C,Jacob de la Rose (13678012),Jacob de la Rose,13678012,C/UTIL,2500,DET@CAR 11/01/2019 07:30PM ET,DET,4.21
C,Joseph Veleno (13678046),Joseph Veleno,13678046,C/UTIL,2500,DET@CAR 11/01/2019 07:30PM ET,DET,0
C,Dominic Turgeon (13678070),Dominic Turgeon,13678070,C/UTIL,2500,DET@CAR 11/01/2019 07:30PM ET,DET,0
C,Ryan Suzuki (13678074),Ryan Suzuki,13678074,C/UTIL,2500,DET@CAR 11/01/2019 07:30PM ET,CAR,0
C,Morgan Geekie (13678076),Morgan Geekie,13678076,C/UTIL,2500,DET@CAR 11/01/2019 07:30PM ET,CAR,0
