Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Jake Gardiner (13678694),Jake Gardiner,13678694,D/UTIL,3300,DET@CAR 11/01/2019 07:30PM ET,CAR,5.18
D,Dennis Cholowski (13678696),Dennis Cholowski,13678696,D/UTIL,3300,DET@CAR 11/01/2019 07:30PM ET,DET,5.77
RW,Oliver Bjorkstrand (13678276),Oliver Bjorkstrand,13678276,W/UTIL,3300,CLS@STL 11/01/2019 08:00PM ET,CLS,6.16
RW,Robert Thomas (13678280),Robert Thomas,13678280,W/UTIL,3300,CLS@STL 11/01/2019 08:00PM ET,STL,2.94
LW,Nick Ritchie (13678272),Nick Ritchie,13678272,W/UTIL,3300,VAN@ANH 11/01/2019 10:00PM ET,ANH,6.58
C,Anthony Cirelli (13677966),Anthony Cirelli,13677966,C/UTIL,3300,TB@NYI 11/01/2019 07:00PM ET,TB,6.84
RW,Joel Farabee (13678286),Joel Farabee,13678286,W/UTIL,3200,PHI@NJ 11/01/2019 07:00PM ET,PHI,5.16
D,Henri Jokiharju (13678702),Henri Jokiharju,13678702,D/UTIL,3200,BUF@WAS 11/01/2019 07:00PM ET,BUF,5.46
C,Tyler Bozak (13677968),Tyler Bozak,13677968,C/UTIL,3200,CLS@STL 11/01/2019 08:00PM ET,STL,4.35
LW,Zach Sanford (13678284),Zach Sanford,13678284,W/UTIL,3200,CLS@STL 11/01/2019 08:00PM ET,STL,3.65
D,Ryan Graves (13678700),Ryan Graves,13678700,D/UTIL,3200,DAL@COL 11/01/2019 09:00PM ET,COL,6.83
D,Marc-Edouard Vlasic (13678698),Marc-Edouard Vlasic,13678698,D/UTIL,3200,WPG@SJ 11/01/2019 10:30PM ET,SJ,3.97
C,Travis Zajac (13677970),Travis Zajac,13677970,C/UTIL,3100,PHI@NJ 11/01/2019 07:00PM ET,NJ,3.75
LW,Michael Raffl (13678290),Michael Raffl,13678290,W/UTIL,3100,PHI@NJ 11/01/2019 07:00PM ET,PHI,6.53
